gene_name_canonical,organelle,source,Note
ETFRF1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ETHE1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
FAHD2A,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
FARS2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
FDX1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
FDXR,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
FECH,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
FH,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
FXN,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
GATB,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
GATC,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
GATD3,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
GCDH,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
GFM1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
GFM2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
GHITM,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
GLDC,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
GLS,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
GPD2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
GRPEL1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
GUF1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
HADHA,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
HADHA,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
HAGH,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
HCCS,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
HIBADH,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
HIBCH,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
HIGD2A,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
HINT2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
HSD17B8,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
HSDL2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
HSPA9,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
HSPD1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
IARS2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
IBA57,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
IDH2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
IDH3A,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
IDH3B,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
IDH3G,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
IMMT,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ISCA1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ISCA2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ISCU,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
IVD,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
L2HGDH,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
LACTB,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
LARS2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
LETM1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
LETMD1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
LIAS,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
LIPT2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
LONP1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
LRPPRC,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
LYRM4,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
LYRM7,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MALSU1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MARS2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MCAT,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MCCC1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MDH2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ME3,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MECR,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MFN1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MICOS10,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MIPEP,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MPC1L,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MPC2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRM1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPL1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPL10,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPL11,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPL12,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPL13,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPL19,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPL16,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPL17,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPL19,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPL2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPL20,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPL21,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPL22,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPL24,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPL28,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPL3,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPL30,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPL33,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPL34,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPL36,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPL4,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPL40,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPL43,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPL44,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPL46,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPL47,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPL49,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPL53,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPL55,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPL9,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPS12,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPS14,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPS15,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPS16,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPS17,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPS18A,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPS18C,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPS2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPS21,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPS23,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPS26,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPS27,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPS35,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPS34,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPS35,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPS5,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPS7,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRPS9,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MRRF,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MSRB2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MT-ATP6,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MT-CO2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MTCH2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MTERF2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MTG1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MTIF2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MTO1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MTX1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
MTX2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
NDUFA10,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
NDUFA12,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
NDUFA2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
NDUFA5,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
NDUFA6,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
NDUFA7,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
NDUFA8,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
NDUFA9,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
NDUFAF1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
NDUFAF4,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
NDUFAF5,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
NDUFB10,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
NDUFB11,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
NDUFB2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
NDUFB5,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
NDUFB6,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
NDUFB8,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
NDUFB9,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
NDUFC2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
NDUFS1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
NDUFS2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
NDUFS4,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
NDUFS5,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
NDUFS6,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
NDUFS7,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
NDUFS8,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
NDUFV1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
NDUFV2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
NDUFV3,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
NFS1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
NFU1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
OGDH,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
OGDHL,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
OPA1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
OXCT1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
PCCA,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
PCCB,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
PDHA1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
PDHB,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
PDHX,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
PDPK1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
PDK2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
PDK3,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
PDK4,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
PHB1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
PHB2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
PITRM1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
PMPCA,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
PMPCB,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
POLDIP2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
POLRMT,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
PPA2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
PPIF,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
PPTC7,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
PRDX3,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
PRODH,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
RTN4IP1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
SAMM50,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
SDHA,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
SDHAF1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
SDHAF2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
SDHAF4,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
SDHB,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
SDHC,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
SDHD,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
SLC25A1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
SLC25A10,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
SLC25A11,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
SLC25A12,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
SLC25A13,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
SLC25A15,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
SLC25A19,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
SLC25A20,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
SLC25A25,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
SLC25A3,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
SLC25A30,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
SLC25A35,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
SLC25A4,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
SLC25A42,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
SLC25A5,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
SLIRP,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
SMDT1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
SOD2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
SPRYD4,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
STOML2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
SUCLA2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
SUCLG1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
SUCLG2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
SUPV3L1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
SURF1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
TACO1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
THEM4,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
TIMM10,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
TIMM13,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
TIMM17A,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
TIMM21,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
TIMM22,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
TIMM44,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
TIMM50,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
TIMM8B,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
TIMM9,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
TMEM126A,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
TOMM22,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
TOMM40,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
TOMM40L,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
TOMM7,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
TRAP1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
TSFM,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
TXN2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
UQCC1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
UQCR10,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
UQCRC1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
UQCRC2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
UQCRFS1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
UQCRH,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
UQCRQ,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
VDAC1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
VDAC2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
VWA8,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
WARS2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
YARS2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
NUP107,nuclear_pore,manual curation,nucleoporin
NUP133,nuclear_pore,manual curation,nucleoporin
NUP153,nuclear_pore,manual curation,nucleoporin
NUP155,nuclear_pore,manual curation,nucleoporin
NUP160,nuclear_pore,manual curation,nucleoporin
NUP188,nuclear_pore,manual curation,nucleoporin
NUP205,nuclear_pore,manual curation,nucleoporin
NUP210,nuclear_pore,manual curation,nucleoporin
NUP210L,nuclear_pore,manual curation,nucleoporin
NUP214,nuclear_pore,manual curation,nucleoporin
NUP35,nuclear_pore,manual curation,nucleoporin
NUP37,nuclear_pore,manual curation,nucleoporin
NUP43,nuclear_pore,manual curation,nucleoporin
NUP50,nuclear_pore,manual curation,nucleoporin
NUP54,nuclear_pore,manual curation,nucleoporin
NUP58,nuclear_pore,manual curation,nucleoporin
NUP62,nuclear_pore,manual curation,nucleoporin
NUP62CL,nuclear_pore,manual curation,nucleoporin
NUP85,nuclear_pore,manual curation,nucleoporin
NUP88,nuclear_pore,manual curation,nucleoporin
NUP93,nuclear_pore,manual curation,nucleoporin
NUP98,nuclear_pore,manual curation,nucleoporin
DCP1A,p-body,Xing et al 2020 PMID: 32553117,from yeast homolog: Dcp1 (Dcp1-Dcp2 complex)
DCP1B,p-body,Xing et al 2020 PMID: 32553117,from yeast homolog: Dcp1 (Dcp1-Dcp2 complex)
DCP2,p-body,Xing et al 2020 PMID: 32553117,from yeast homolog: Dcp2  (Dcp1-Dcp2 complex)
DDX6,p-body,Xing et al 2020 PMID: 32553117,from yeast homolog: Ddx6
EDC3,p-body,Xing et al 2020 PMID: 32553117,from yeast homolog: Edc3
LSM1,p-body,Xing et al 2020 PMID: 32553117,from yeast homolog: Lsm1 (Lsm complex)
LSM2,p-body,Xing et al 2020 PMID: 32553117,from yeast homolog: Lsm2 (Lsm complex)
LSM3,p-body,Xing et al 2020 PMID: 32553117,from yeast homolog: Lsm3 (Lsm complex)
LSM4,p-body,Xing et al 2020 PMID: 32553117,from yeast homolog: Lsm4 (Lsm complex)
LSM5,p-body,Xing et al 2020 PMID: 32553117,from yeast homolog: Lsm5 (Lsm complex)
LSM6,p-body,Xing et al 2020 PMID: 32553117,from yeast homolog: Lsm6 (Lsm complex)
LSM7,p-body,Xing et al 2020 PMID: 32553117,from yeast homolog: Lsm6 (Lsm complex)
PATL1,p-body,Xing et al 2020 PMID: 32553117,from yeast homolog: Pat1
UPF1,p-body,Xing et al 2020 PMID: 32553117,from yeast homolog: Upf1
XRN1,p-body,Xing et al 2020 PMID: 32553117,from yeast homolog: Xrn1
ABCD1,peroxisome,Yifrach et al 2018 PMID:  30378018,using score >18; meta-analysis
ACAD11,peroxisome,Yifrach et al 2018 PMID:  30378018,using score >18; meta-analysis
ACOT4,peroxisome,Yifrach et al 2018 PMID:  30378018,using score >18; meta-analysis
ACOX3,peroxisome,Yifrach et al 2018 PMID:  30378018,using score >18; meta-analysis
ACSL1,peroxisome,Yifrach et al 2018 PMID:  30378018,using score >18; meta-analysis
AGPS,peroxisome,Yifrach et al 2018 PMID:  30378018,using score >18; meta-analysis
AMACR,peroxisome,Yifrach et al 2018 PMID:  30378018,using score >18; meta-analysis
BAAT,peroxisome,Yifrach et al 2018 PMID:  30378018,using score >18; meta-analysis
CRAT,peroxisome,Yifrach et al 2018 PMID:  30378018,using score >18; meta-analysis
CROT,peroxisome,Yifrach et al 2018 PMID:  30378018,using score >18; meta-analysis
DAO,peroxisome,Yifrach et al 2018 PMID:  30378018,using score >18; meta-analysis
DHRS4,peroxisome,Yifrach et al 2018 PMID:  30378018,using score >18; meta-analysis
ECH1,peroxisome,Yifrach et al 2018 PMID:  30378018,using score >18; meta-analysis
EHHADH,peroxisome,Yifrach et al 2018 PMID:  30378018,using score >18; meta-analysis
EPHX2,peroxisome,Yifrach et al 2018 PMID:  30378018,using score >18; meta-analysis
GSTK1,peroxisome,Yifrach et al 2018 PMID:  30378018,using score >18; meta-analysis
HAO1,peroxisome,Yifrach et al 2018 PMID:  30378018,using score >18; meta-analysis
HAO2,peroxisome,Yifrach et al 2018 PMID:  30378018,using score >18; meta-analysis
HSD17B4,peroxisome,Yifrach et al 2018 PMID:  30378018,using score >18; meta-analysis
MTARC2,peroxisome,Yifrach et al 2018 PMID:  30378018,using score >18; meta-analysis
NUDT12,peroxisome,Yifrach et al 2018 PMID:  30378018,using score >18; meta-analysis
PECR,peroxisome,Yifrach et al 2018 PMID:  30378018,using score >18; meta-analysis
PEX1,peroxisome,Yifrach et al 2018 PMID:  30378018,using score >18; meta-analysis
PEX10,peroxisome,Yifrach et al 2018 PMID:  30378018,using score >18; meta-analysis
PEX11B,peroxisome,Yifrach et al 2018 PMID:  30378018,using score >18; meta-analysis
PEX14,peroxisome,Yifrach et al 2018 PMID:  30378018,using score >18; meta-analysis
PEX16,peroxisome,Yifrach et al 2018 PMID:  30378018,using score >18; meta-analysis
PEX2,peroxisome,Yifrach et al 2018 PMID:  30378018,using score >18; meta-analysis
PEX5,peroxisome,Yifrach et al 2018 PMID:  30378018,using score >18; meta-analysis
PEX6,peroxisome,Yifrach et al 2018 PMID:  30378018,using score >18; meta-analysis
PIPOX,peroxisome,Yifrach et al 2018 PMID:  30378018,using score >18; meta-analysis
PRDX5,peroxisome,Yifrach et al 2018 PMID:  30378018,using score >18; meta-analysis
PXMP2,peroxisome,Yifrach et al 2018 PMID:  30378018,using score >18; meta-analysis
CTDSP2,peroxisome,Yifrach et al 2018 PMID:  30378018,using score >18; meta-analysis
SLC25A17,peroxisome,Yifrach et al 2018 PMID:  30378018,using score >18; meta-analysis
SLC27A2,peroxisome,Yifrach et al 2018 PMID:  30378018,using score >18; meta-analysis
TMEM135,peroxisome,Yifrach et al 2018 PMID:  30378018,using score >18; meta-analysis
ABCB1,plasma membrane,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ABCC2,plasma membrane,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ABCC4,plasma membrane,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ABCC5,plasma membrane,Itzhak et al 2016 PMID: 27278775,confidence score: very high
