Protein IDs,Compartment,Gene names,Normalized Map profiles,Fraction MAP1_01K,Fraction MAP1_03K,Fraction MAP1_06K,Fraction MAP1_12K,Fraction MAP1_24K,Fraction MAP1_80K,Fraction MAP2_01K,Fraction MAP2_03K,Fraction MAP2_06K,Fraction MAP2_12K,Fraction MAP2_24K,Fraction MAP2_80K,Fraction MAP3_01K,Fraction MAP3_03K,Fraction MAP3_06K,Fraction MAP3_12K,Fraction MAP3_24K,Fraction MAP3_80K,SVM predictions,Actin binding proteins,ER,Endosome,Ergic/ cisGolgi,Golgi,Large Protein Complex,Lysosome,Mitochondrion,Nuclear pore complex,Peroxisome,Plasma membrane,Protein IDs,Compartment Marker,Gene names,PredictionMax probability,Prediction Winner,Multiple Prediction Winners?,Classification,Confidence
P46776,Large Protein Complex,RPL27A,,0.040962698,0.036828394,0.079901421,0.191190953,0.286742768,0.364373766,0.042557963,0.062784603,0.091887971,0.194169851,0.292349758,0.316249854,0.038642037,0.043823291,0.086370696,0.199710379,0.293390908,0.33806269,,0.001923231,0.002664175,0.010726346,0.001295349,0.003202365,0.969091511,0.00231421,0.002850095,0.001182318,0.001006856,0.003743545,P46776,Large Protein Complex,RPL27A,0.969,Large Protein Complex,no,Large Protein Complex,Very High
Q8N9M1,undefined,C19orf47,,0.210423627,0.127551339,0.138910419,0.122366252,0.17163348,0.229114883,0.214307168,0.126589977,0.148635661,0.101480725,0.195940771,0.213045698,0.119476294,0.227885623,0.123144426,0.121408125,0.168092728,0.239992805,,0.002309362,0.002680001,0.006692369,0.000996238,0.002230081,0.969039893,0.001942178,0.010110011,0.001024892,0.000817733,0.00215724,Q8N9M1, ,C19orf47,0.969,Large Protein Complex,no,Large Protein Complex,Very High
O43592,undefined,XPOT,,0.160133795,0.204748944,0.133387597,0.192857506,0.18115684,0.127715318,0.16510109,0.187791106,0.133199761,0.178618823,0.200788426,0.134500794,0.160165592,0.242573236,0.127957655,0.161780238,0.170120552,0.137402727,,0.005475342,0.001735515,0.008117978,0.00159403,0.001731928,0.968981837,0.001388445,0.001627055,0.000839972,0.000733094,0.007774804,O43592, ,XPOT,0.969,Large Protein Complex,no,Large Protein Complex,Very High
Q15633,undefined,TARBP2,,0.02274547,0.036571972,0.070064199,0.183595829,0.33116964,0.35585289,0.028131982,0.033242931,0.058789143,0.192260099,0.309328058,0.378247787,0.030360286,0.039880262,0.06281214,0.179359254,0.327327855,0.360260204,,0.002057619,0.002889473,0.008204773,0.00197784,0.00350401,0.968971539,0.002524418,0.003379012,0.001295838,0.001087829,0.00410765,Q15633, ,TARBP2,0.969,Large Protein Complex,no,Large Protein Complex,Very High
O95817,undefined,BAG3,,0.107126728,0.163587026,0.164154447,0.178054326,0.220911965,0.166165509,0.12537062,0.137613313,0.158168105,0.176459828,0.230080101,0.172308033,0.13525914,0.191639213,0.155978305,0.185106469,0.16932503,0.162691844,,0.000912961,0.000906484,0.020888722,0.003040443,0.000729076,0.968952593,0.000843662,0.001477917,0.000618797,0.000474404,0.001154942,O95817, ,BAG3,0.969,Large Protein Complex,no,Large Protein Complex,Very High
P62333,Large Protein Complex,PSMC6,,0.108965618,0.133625491,0.120311866,0.14990059,0.172931392,0.314265044,0.113111382,0.126596828,0.10707696,0.153315655,0.177428136,0.322471038,0.123212321,0.178649641,0.097765851,0.138567595,0.163309789,0.298494803,,0.001109274,0.002216173,0.015180875,0.00112274,0.002073492,0.96894427,0.001953357,0.004098574,0.001015236,0.000793254,0.001492756,P62333,Large Protein Complex,PSMC6,0.969,Large Protein Complex,no,Large Protein Complex,Very High
P62277,Large Protein Complex,RPS13,,0.030825409,0.043246422,0.076204248,0.198920417,0.294904407,0.355899098,0.031527979,0.050729469,0.083815561,0.213551647,0.300054223,0.320321121,0.030035382,0.043533184,0.075785238,0.215642452,0.313477796,0.321525948,,0.002047956,0.002903017,0.009047372,0.001334159,0.003501562,0.968938501,0.002471625,0.003374635,0.001259503,0.001060186,0.004061484,P62277,Large Protein Complex,RPS13,0.969,Large Protein Complex,no,Large Protein Complex,Very High
Q9Y6K9,undefined,IKBKG,,0.112443929,0.192292278,0.119531416,0.161383378,0.202555953,0.211793046,0.127398309,0.152973776,0.119334656,0.178105266,0.20728708,0.214900913,0.226853279,0.167938143,0.129081383,0.140325242,0.167158578,0.168643376,,0.001679162,0.001353471,0.017777106,0.001526406,0.001162707,0.968923712,0.001362414,0.00361841,0.000785102,0.000634105,0.001177405,Q9Y6K9, ,IKBKG,0.969,Large Protein Complex,no,Large Protein Complex,Very High
Q71UM5,Large Protein Complex,RPS27L,,0.02729331,0.050715323,0.086957782,0.195918817,0.285392913,0.353721855,0.028551585,0.052079358,0.08775453,0.198419589,0.305903027,0.327291912,0.027718672,0.046808763,0.089206432,0.1973687,0.312554615,0.326342819,,0.001933591,0.002670509,0.010778008,0.001376266,0.003219782,0.968920198,0.00232803,0.002842947,0.001191165,0.001011463,0.00372804,Q71UM5,Large Protein Complex,RPS27L,0.969,Large Protein Complex,no,Large Protein Complex,Very High
P49354,undefined,FNTA,,0.125868002,0.215488447,0.161008778,0.194526395,0.163397477,0.139710901,0.15174459,0.193276208,0.146456362,0.196307426,0.165063577,0.147151836,0.15524443,0.223006506,0.15603033,0.14175314,0.162870574,0.161095021,,0.004546877,0.001570457,0.012304948,0.003727512,0.001510628,0.96886079,0.001033605,0.000954884,0.000688582,0.00055401,0.004247707,P49354, ,FNTA,0.969,Large Protein Complex,no,Large Protein Complex,Very High
Q9Y4R8,undefined,TELO2,,0.080197845,0.093111168,0.107612745,0.196226014,0.249247327,0.2736049,0.077938066,0.104098292,0.115916289,0.201933811,0.243387635,0.256725908,0.084565633,0.115021255,0.117197171,0.190408218,0.239062845,0.253744878,,0.000779183,0.001340352,0.021846549,0.000824043,0.001242043,0.96882215,0.001201718,0.001627551,0.000738723,0.000598685,0.000979003,Q9Y4R8, ,TELO2,0.969,Large Protein Complex,no,Large Protein Complex,Very High
Q9NX02,undefined,NLRP2,,0.143037794,0.095088809,0.130919654,0.153715136,0.22875241,0.248486197,0.113181696,0.192024681,0.117933929,0.111677461,0.246962787,0.218219446,0.108528654,0.108656082,0.150528357,0.163797205,0.20705248,0.261437221,,0.000801172,0.001971865,0.016752305,0.000885349,0.001513003,0.968805412,0.001580411,0.004816915,0.000899363,0.000690252,0.001283954,Q9NX02, ,NLRP2,0.969,Large Protein Complex,no,Large Protein Complex,Very High
O60231,undefined,DHX16,,0.201225334,0.068107878,0.065143361,0.137538387,0.233035361,0.294949679,0.203071295,0.078883502,0.065768631,0.141116378,0.232283865,0.278876329,0.190599963,0.075331185,0.066156332,0.143270999,0.228453209,0.296188311,,0.001708539,0.003198871,0.008471147,0.001041942,0.003638896,0.968751842,0.002621162,0.004772473,0.001210887,0.001060642,0.0035236,O60231, ,DHX16,0.969,Large Protein Complex,no,Large Protein Complex,Very High
Q86TU7,undefined,SETD3,,0.02970388,0.037196438,0.060426276,0.210038283,0.340274118,0.322361005,0.024404403,0.036766418,0.056200146,0.212317995,0.339371188,0.330939851,0.026668303,0.038899807,0.0652245,0.192368397,0.330287719,0.346551275,,0.002202909,0.00323459,0.006170737,0.001606774,0.003919497,0.968749728,0.00272797,0.00430214,0.001377359,0.001143887,0.00456441,Q86TU7, ,SETD3,0.969,Large Protein Complex,no,Large Protein Complex,Very High
P07737,undefined,PFN1,,0.15061782,0.199789701,0.152490636,0.193946306,0.161004625,0.142150913,0.159497356,0.194824238,0.136959482,0.175380219,0.201401366,0.131937339,0.155208317,0.24974755,0.14010841,0.152116132,0.164108158,0.138711433,,0.005254559,0.001603569,0.007601205,0.001961829,0.001854775,0.968707443,0.00119697,0.001489809,0.000777399,0.000674269,0.008878173,P07737, ,PFN1,0.969,Large Protein Complex,no,Large Protein Complex,Very High
P08865,undefined,RPSA,,0.022336146,0.048105653,0.081619261,0.18748383,0.304422578,0.356032533,0.023091212,0.048593321,0.079644751,0.198337913,0.314480864,0.335851941,0.024280501,0.050316457,0.086544741,0.206399595,0.309144201,0.323314506,,0.002021857,0.002826908,0.009633412,0.001493403,0.00341518,0.968697426,0.002447483,0.003172273,0.001247452,0.001053288,0.003991317,P08865, ,RPSA,0.969,Large Protein Complex,no,Large Protein Complex,Very High
P32119,undefined,PRDX2,,0.167550328,0.193910235,0.144107184,0.175441944,0.16434734,0.154642969,0.1604073,0.18356255,0.135334568,0.188600899,0.199246231,0.132848453,0.163135606,0.253104576,0.12269683,0.164205185,0.149542009,0.147315793,,0.005614538,0.001582996,0.00825051,0.001556397,0.001692703,0.968659865,0.001196679,0.001555342,0.000808542,0.000713019,0.008369409,P32119, ,PRDX2,0.969,Large Protein Complex,no,Large Protein Complex,Very High
Q9NUL3,undefined,STAU2,,0.030985565,0.047540315,0.081669502,0.177430587,0.304831826,0.357542205,0.031774603,0.045385196,0.078433849,0.191194257,0.302860418,0.350351677,0.031639003,0.051094073,0.081626445,0.17717081,0.28869927,0.369770399,,0.00190795,0.002592016,0.011307685,0.001636649,0.00313227,0.968645251,0.002308165,0.002607577,0.001180821,0.00101068,0.003670936,Q9NUL3, ,STAU2,0.969,Large Protein Complex,no,Large Protein Complex,Very High
Q8WXE0,undefined,CASKIN2,,0.113884168,0.106319462,0.114466936,0.179680568,0.23482547,0.250823395,0.108565916,0.122405338,0.123278325,0.166623262,0.235548937,0.243578222,0.105838838,0.104682959,0.128754954,0.180525099,0.226010568,0.254187583,,0.000565876,0.001122763,0.023658439,0.000579961,0.000875108,0.968642271,0.001089723,0.001570542,0.000663126,0.000540387,0.000691804,Q8WXE0, ,CASKIN2,0.969,Large Protein Complex,no,Large Protein Complex,Very High
P98174,undefined,FGD1,,0.072909257,0.203310177,0.139315347,0.171139151,0.143626679,0.269699388,0.097568407,0.214541682,0.237736848,0.151854888,0.13865595,0.159642225,0.155972613,0.204404235,0.080656703,0.175413557,0.188069162,0.195483731,,0.002353262,0.001382192,0.005841251,0.003281884,0.002744776,0.968636773,0.001297743,0.010023344,0.001001135,0.000680408,0.002757232,P98174, ,FGD1,0.969,Large Protein Complex,no,Large Protein Complex,Very High
Q9UBP6,undefined,METTL1,,0.133530219,0.210607475,0.168695843,0.191430926,0.20581714,0.089918397,0.164417476,0.178448015,0.101055221,0.17288409,0.241155897,0.142039301,0.164955259,0.205686652,0.104055843,0.14881837,0.175597875,0.200886002,,0.002705792,0.002360311,0.0131095,0.001411082,0.001615039,0.968622788,0.00194271,0.004019177,0.000975813,0.000737998,0.002499788,Q9UBP6, ,METTL1,0.969,Large Protein Complex,no,Large Protein Complex,Very High
Q9UI10-2,undefined,EIF2B4,,0.044510919,0.056108175,0.065609191,0.151536734,0.274561019,0.407673962,0.040817785,0.059792895,0.056528341,0.155197469,0.2942892,0.393374311,0.046600378,0.062491369,0.053063573,0.139893201,0.294388436,0.403563044,,0.002134359,0.003050696,0.007103496,0.002289898,0.003684253,0.968574348,0.002647315,0.003708966,0.001360016,0.001135062,0.00431159,Q9UI10-2, ,EIF2B4,0.969,Large Protein Complex,no,Large Protein Complex,Very High
Q9BQE3,Large Protein Complex,TUBA1C,,0.059775588,0.158958306,0.125428108,0.124727517,0.239918964,0.291191518,0.06579942,0.079175276,0.09731691,0.170675344,0.249652645,0.337380406,0.047424557,0.196329482,0.060771199,0.089319245,0.326744146,0.279411371,,0.00224789,0.003730121,0.002700257,0.002577753,0.004574815,0.968569759,0.00296672,0.006703585,0.001485768,0.001201018,0.003242314,Q9BQE3,Large Protein Complex,TUBA1C,0.969,Large Protein Complex,no,Large Protein Complex,Very High
Q9BT25,undefined,HAUS8,,0.12065958,0.079122747,0.110230644,0.190784668,0.255467923,0.243734439,0.115355051,0.095700692,0.088928354,0.169686166,0.230928778,0.29940096,0.110076074,0.106083788,0.093487806,0.179852122,0.241672063,0.268828147,,0.000930761,0.001847236,0.019814698,0.000699225,0.001742142,0.968561778,0.001595856,0.002035868,0.00082896,0.000715025,0.00122845,Q9BT25, ,HAUS8,0.969,Large Protein Complex,no,Large Protein Complex,Very High
Q9UGR2,undefined,ZC3H7B,,0.030350928,0.039329116,0.072182687,0.196841377,0.337032119,0.324263773,0.034650754,0.036082443,0.079057393,0.219938482,0.299671039,0.330599889,0.033835084,0.047697383,0.080772363,0.211456913,0.32230834,0.303929917,,0.002122964,0.003040833,0.00855496,0.001316642,0.003710705,0.968470742,0.002553658,0.003668473,0.001296262,0.001087561,0.0041772,Q9UGR2, ,ZC3H7B,0.968,Large Protein Complex,no,Large Protein Complex,Very High
P30153,Large Protein Complex,PPP2R1A,,0.166916589,0.14900676,0.131456963,0.18494883,0.191357414,0.176313445,0.14990065,0.159228045,0.12850165,0.181803917,0.198754523,0.181811215,0.177574009,0.185034451,0.129452132,0.167586763,0.170663595,0.16968905,,0.001136631,0.001231135,0.023002214,0.000769924,0.00072067,0.96839572,0.001078998,0.001190568,0.00062824,0.000561974,0.001283926,P30153,Large Protein Complex,PPP2R1A,0.968,Large Protein Complex,no,Large Protein Complex,Very High
P11586,undefined,MTHFD1,,0.019468048,0.032451745,0.068133169,0.183907304,0.321586742,0.374452992,0.020408377,0.032014867,0.067191864,0.191465347,0.321398196,0.367521348,0.021533289,0.038140711,0.07158733,0.177365405,0.328786441,0.362586825,,0.002097219,0.002983742,0.007922007,0.002086376,0.003592277,0.968341048,0.002609919,0.003651695,0.001333671,0.001114244,0.004267802,P11586, ,MTHFD1,0.968,Large Protein Complex,no,Large Protein Complex,Very High
Q9NRX4,undefined,PHPT1,,0.176603371,0.189808942,0.16042492,0.163326243,0.183830656,0.126005868,0.151624627,0.191756077,0.106977301,0.164122179,0.197947725,0.187572091,0.201477784,0.221413339,0.125077184,0.135070906,0.162006216,0.154954572,,0.004965065,0.001598781,0.01445664,0.001114478,0.001518846,0.968334599,0.001416671,0.002710692,0.000834131,0.000640178,0.002409919,Q9NRX4, ,PHPT1,0.968,Large Protein Complex,no,Large Protein Complex,Very High
O75179,undefined,ANKRD17,,0.023269731,0.031881914,0.054333746,0.184222831,0.342146733,0.364145045,0.023301149,0.034913463,0.057259986,0.202413284,0.34085535,0.341256769,0.023762556,0.037464776,0.064120506,0.201321473,0.339960622,0.333370066,,0.00225532,0.003329934,0.005271225,0.00191191,0.004022658,0.968300599,0.002829985,0.004687085,0.001428735,0.00117902,0.004783528,O75179, ,ANKRD17,0.968,Large Protein Complex,no,Large Protein Complex,Very High
P62249,Large Protein Complex,RPS16,,0.024821813,0.049855428,0.094157548,0.205010549,0.283008297,0.343146365,0.028665694,0.051226608,0.091407558,0.207619068,0.32209885,0.298982223,0.030931176,0.056974492,0.112851891,0.186922001,0.302681634,0.309638807,,0.001943547,0.002748915,0.010952674,0.001287114,0.003288305,0.968282606,0.002359892,0.003154216,0.001207359,0.001016374,0.003758997,P62249,Large Protein Complex,RPS16,0.968,Large Protein Complex,no,Large Protein Complex,Very High
Q9NSD9,undefined,FARSB,,0.025021444,0.035785195,0.062389081,0.199690906,0.313576837,0.363536537,0.023622962,0.037547832,0.062059011,0.206252292,0.320050814,0.350467089,0.024628125,0.037287615,0.066831131,0.196447967,0.3191342,0.355670963,,0.0021139,0.003028878,0.008041018,0.001807992,0.003643528,0.968280841,0.002618626,0.003706717,0.001329839,0.001112894,0.004315768,Q9NSD9, ,FARSB,0.968,Large Protein Complex,no,Large Protein Complex,Very High
Q8WXG6-6,undefined,MADD,,0.160919683,0.137032617,0.144644159,0.138669285,0.218323223,0.200411032,0.165901059,0.157962982,0.086476806,0.15400185,0.206366274,0.229291029,0.131131833,0.160010453,0.160844208,0.183865803,0.162578087,0.201569617,,0.000732685,0.001255438,0.022868031,0.000812236,0.000836899,0.968226078,0.001144067,0.001990881,0.000677282,0.000541475,0.000914928,Q8WXG6-6, ,MADD,0.968,Large Protein Complex,no,Large Protein Complex,Very High
O94763,undefined,URI1,,0.021793449,0.043961869,0.067546845,0.203450658,0.299322853,0.363924325,0.028789323,0.045961072,0.059854056,0.223067688,0.30415119,0.338176673,0.028578235,0.044282082,0.068616634,0.210558937,0.318321626,0.329642487,,0.002138198,0.003072742,0.008139198,0.001560851,0.00370247,0.968221197,0.002622096,0.003743646,0.001326724,0.00111121,0.004361669,O94763, ,URI1,0.968,Large Protein Complex,no,Large Protein Complex,Very High
P78344,Large Protein Complex,EIF4G2,,0.031696505,0.048870753,0.082078546,0.183108157,0.310074506,0.344171534,0.03119291,0.04943119,0.083062088,0.19297261,0.293603978,0.349737225,0.033177737,0.050411473,0.08099576,0.195031071,0.301886482,0.338497477,,0.001898999,0.002574149,0.012163391,0.001443043,0.003125207,0.968202797,0.002279115,0.002562828,0.001162899,0.000997789,0.003589783,P78344,Large Protein Complex,EIF4G2,0.968,Large Protein Complex,no,Large Protein Complex,Very High
Q96I24,undefined,FUBP3,,0.162625376,0.038903607,0.061911384,0.140054229,0.268317886,0.328187518,0.16677322,0.045148864,0.064639189,0.160676221,0.252247732,0.310514773,0.173771352,0.043617937,0.066059338,0.151118872,0.269140114,0.296292387,,0.002087464,0.003361355,0.006499727,0.001266763,0.004024843,0.968162354,0.002778552,0.004953283,0.001365159,0.001133693,0.004366807,Q96I24, ,FUBP3,0.968,Large Protein Complex,no,Large Protein Complex,Very High
P28065,undefined,PSMB9,,0.083811936,0.126073604,0.102932926,0.160741242,0.241476238,0.284964054,0.127077268,0.129800615,0.095353953,0.255581635,0.184476103,0.207710426,0.226575959,0.186957005,0.092904248,0.156896616,0.158540652,0.178125521,,0.001514613,0.003023276,0.006825991,0.001914862,0.002350261,0.967998177,0.002338095,0.008422539,0.001217647,0.000982128,0.003412411,P28065, ,PSMB9,0.968,Large Protein Complex,no,Large Protein Complex,Very High
Q8N568,undefined,DCLK2,,0.1744029,0.196869491,0.084969314,0.177191255,0.192962889,0.173604152,0.112706279,0.303700676,0.163345765,0.179694818,0.132018597,0.108533865,0.132384181,0.248325424,0.150427119,0.132158192,0.184813559,0.151891525,,0.004378304,0.002714955,0.005632445,0.001552855,0.003307099,0.967966383,0.001580024,0.002230798,0.000997619,0.000916446,0.008723073,Q8N568, ,DCLK2,0.968,Large Protein Complex,no,Large Protein Complex,Very High
O14777,undefined,NDC80,,0.205381303,0.079710551,0.081351441,0.155395317,0.203745509,0.274415879,0.17169231,0.096398894,0.089228729,0.161936256,0.230687063,0.250056747,0.196186904,0.090085203,0.085296621,0.159748787,0.226340008,0.242342477,,0.001197242,0.002719958,0.013992364,0.000798585,0.002641978,0.967959572,0.002224666,0.004065455,0.000988985,0.000919113,0.002492081,O14777, ,NDC80,0.968,Large Protein Complex,no,Large Protein Complex,Very High
Q9BQL6,undefined,FERMT1,,0.110927699,0.103124344,0.107106056,0.179016977,0.234350771,0.265474154,0.109266298,0.093970323,0.123749848,0.186511902,0.234164745,0.252336885,0.103770358,0.10527166,0.115039623,0.196432983,0.2283594,0.251125976,,0.000666039,0.00122158,0.023554236,0.000616435,0.001060843,0.967906913,0.001166657,0.001633887,0.000694583,0.000582756,0.000896071,Q9BQL6, ,FERMT1,0.968,Large Protein Complex,no,Large Protein Complex,Very High
P56192,Large Protein Complex,MARS,,0.067711847,0.152704584,0.284393102,0.210297416,0.094076904,0.190816147,0.065508614,0.157324984,0.25714106,0.211075642,0.095879883,0.213069816,0.063995206,0.152974986,0.266569682,0.208110372,0.101088995,0.20726076,,0.000760099,0.003445104,0.011879117,0.006704086,0.001044961,0.967800675,0.00222472,0.001850803,0.000732147,0.00077389,0.002784398,P56192,Large Protein Complex,MARS,0.968,Large Protein Complex,no,Large Protein Complex,Very High
Q9UIV1,Large Protein Complex,CNOT7,,0.016793416,0.031692891,0.067182271,0.203694236,0.325848602,0.354788584,0.02186951,0.036125926,0.061203999,0.21468503,0.313979691,0.352135843,0.024836981,0.041818162,0.063777092,0.198025894,0.338505426,0.333036446,,0.00217625,0.003146852,0.00764483,0.001776181,0.003801971,0.967771243,0.002699174,0.003993361,0.001363024,0.001137271,0.004489843,Q9UIV1,Large Protein Complex,CNOT7,0.968,Large Protein Complex,no,Large Protein Complex,Very High
Q86Y13,undefined,DZIP3,,0.124367944,0.244237027,0.120865859,0.196979881,0.18096653,0.132582759,0.16412112,0.18095683,0.190650757,0.153091737,0.156438293,0.154741262,0.134322258,0.183737963,0.115205701,0.162257383,0.225039731,0.179436966,,0.004745023,0.001784859,0.014132226,0.002076974,0.001708189,0.96767253,0.001643486,0.003023486,0.000869214,0.000672814,0.001671199,Q86Y13, ,DZIP3,0.968,Large Protein Complex,no,Large Protein Complex,Very High
Q7Z417,undefined,NUFIP2,,0.019358436,0.048618679,0.091853269,0.184590895,0.308251056,0.347327667,0.021014079,0.041911824,0.080347306,0.194894156,0.315142756,0.346689879,0.023752178,0.046862367,0.085646487,0.194376117,0.31881669,0.330546161,,0.001998062,0.002776825,0.010938351,0.001589254,0.003357087,0.967666307,0.002441372,0.003028435,0.001237756,0.001049549,0.003917001,Q7Z417, ,NUFIP2,0.968,Large Protein Complex,no,Large Protein Complex,Very High
Q92615,undefined,LARP4B,,0.022414709,0.042315236,0.067351571,0.165529717,0.297579977,0.404808789,0.02452148,0.044798016,0.071520115,0.18247007,0.311754348,0.364935972,0.024809003,0.043906764,0.070907861,0.181928099,0.308937847,0.369510426,,0.002138426,0.003055716,0.00800988,0.002142383,0.003663902,0.967659525,0.002670047,0.003775642,0.001360179,0.001134856,0.004389445,Q92615, ,LARP4B,0.968,Large Protein Complex,no,Large Protein Complex,Very High
O75175,Large Protein Complex,CNOT3,,0.022917709,0.040411148,0.065094553,0.197615898,0.352280291,0.321680401,0.022556602,0.041555736,0.067502747,0.191019872,0.335394342,0.341970701,0.023613526,0.044946683,0.074411135,0.193929668,0.319347044,0.343751944,,0.002181927,0.003161944,0.007805036,0.001661177,0.003835285,0.967658214,0.002698478,0.004038229,0.001357794,0.001134658,0.004467259,O75175,Large Protein Complex,CNOT3,0.968,Large Protein Complex,no,Large Protein Complex,Very High
P63173,undefined,RPL38,,0.026593687,0.047502595,0.076427583,0.184034366,0.275102182,0.390339588,0.030153942,0.048740874,0.088136765,0.211912719,0.304616907,0.316438793,0.028981015,0.045528118,0.083984836,0.194231021,0.297505536,0.349769475,,0.002089463,0.002981018,0.009283138,0.001618725,0.003557046,0.967621159,0.002583801,0.003556463,0.001303484,0.001095699,0.004310004,P63173, ,RPL38,0.968,Large Protein Complex,no,Large Protein Complex,Very High
Q9NVU0,undefined,POLR3E,,0.19212518,0.0992923,0.102978895,0.132837166,0.230081357,0.242685102,0.187240775,0.10356391,0.091656897,0.143646862,0.211243902,0.262647656,0.201529565,0.104346204,0.085400734,0.150997948,0.20372443,0.254001119,,0.001165382,0.002474103,0.016419032,0.000762087,0.002229563,0.967617095,0.002087121,0.00364229,0.000911697,0.000857783,0.001833847,Q9NVU0, ,POLR3E,0.968,Large Protein Complex,no,Large Protein Complex,Very High
Q6Y7W6,undefined,GIGYF2,,0.018371205,0.039079751,0.083161141,0.20384393,0.329988495,0.325555479,0.019413779,0.041472842,0.078421997,0.228115064,0.328765739,0.303810579,0.021659774,0.040980966,0.084936056,0.210136102,0.337067513,0.30521959,,0.00224604,0.003340024,0.006890381,0.00136285,0.004035753,0.967608156,0.002769941,0.004584451,0.001391819,0.001152004,0.004618581,Q6Y7W6, ,GIGYF2,0.968,Large Protein Complex,no,Large Protein Complex,Very High
Q15181,undefined,PPA1,,0.138372219,0.231881146,0.161111373,0.181185462,0.16263046,0.124819339,0.146471649,0.203895193,0.135070162,0.176664403,0.20347908,0.134419513,0.146592205,0.267651772,0.131583013,0.156072334,0.164941402,0.133159274,,0.007333109,0.001393111,0.005790118,0.002395477,0.002674123,0.967588956,0.001241221,0.001859211,0.000809327,0.000663911,0.008251437,Q15181, ,PPA1,0.968,Large Protein Complex,no,Large Protein Complex,Very High
P05387,Large Protein Complex,RPLP2,,0.020430046,0.050563424,0.089467992,0.180466007,0.29380478,0.365267752,0.022531697,0.054601269,0.083983389,0.21144794,0.301347724,0.326087981,0.021340123,0.046370306,0.087744281,0.180793401,0.304779885,0.358972005,,0.001973009,0.00272622,0.011372364,0.001614235,0.003273098,0.96756478,0.002414596,0.002913779,0.001223182,0.001040501,0.003884234,P05387,Large Protein Complex,RPLP2,0.968,Large Protein Complex,no,Large Protein Complex,Very High
O43252,undefined,PAPSS1,,0.172161954,0.167927656,0.137590061,0.190108483,0.197313355,0.134898492,0.119819298,0.21262597,0.120622418,0.165519904,0.200378393,0.181034017,0.178632206,0.21354143,0.13569641,0.17957865,0.164772262,0.127779042,,0.002382712,0.001534705,0.018165657,0.001114953,0.001307893,0.967564689,0.001345737,0.001574777,0.000767889,0.00066117,0.003579817,O43252, ,PAPSS1,0.968,Large Protein Complex,no,Large Protein Complex,Very High
Q9Y296,Large Protein Complex,TRAPPC4,,0.051669344,0.08714843,0.099936285,0.188170561,0.251398331,0.321677049,0.063579949,0.105621563,0.10727247,0.190949448,0.24973211,0.282844459,0.05805473,0.090969036,0.110060155,0.180259387,0.25544999,0.305206702,,0.001264481,0.001850663,0.019197206,0.001039707,0.002041929,0.96753591,0.001658905,0.001897913,0.00090133,0.000761067,0.001850888,Q9Y296,Large Protein Complex,TRAPPC4,0.968,Large Protein Complex,no,Large Protein Complex,Very High
Q8TAP6,undefined,CEP76,,0.143763207,0.075839364,0.113141476,0.190022666,0.259954903,0.217278383,0.079635302,0.132329926,0.099043939,0.234509435,0.238421943,0.216059455,0.100869414,0.099535947,0.121171322,0.180316291,0.251891362,0.246215664,,0.000819989,0.002015455,0.020141066,0.000811108,0.001498868,0.967516728,0.001490509,0.002875341,0.000857299,0.000705036,0.001268602,Q8TAP6, ,CEP76,0.968,Large Protein Complex,no,Large Protein Complex,Very High
Q9UFF9,Large Protein Complex,CNOT8,,0.026330689,0.035289441,0.069142093,0.199857008,0.354931701,0.314449068,0.021677164,0.04125384,0.070381402,0.199003931,0.331378081,0.336305584,0.019089644,0.039074409,0.078929411,0.190285399,0.344228463,0.328392674,,0.002221856,0.003253782,0.00724542,0.001607406,0.003954441,0.967511339,0.002757355,0.004323564,0.001382299,0.00115062,0.004591918,Q9UFF9,Large Protein Complex,CNOT8,0.968,Large Protein Complex,no,Large Protein Complex,Very High
Q6VN20,undefined,RANBP10,,0.185440448,0.197896475,0.079262689,0.13463637,0.150635365,0.252128653,0.157137065,0.234437255,0.117609016,0.158685213,0.209526139,0.122605313,0.184737597,0.202807289,0.113759879,0.163337224,0.181458958,0.153899054,,0.005784566,0.002335387,0.006449297,0.001048121,0.002336244,0.967487606,0.001882489,0.005419954,0.001071968,0.000952743,0.005231626,Q6VN20, ,RANBP10,0.967,Large Protein Complex,no,Large Protein Complex,Very High
E9PAV3;Q13765;E9PAV3-2,undefined,NACA;NACA,,0.03797771,0.056354561,0.079629119,0.213465767,0.336886637,0.275686206,0.03310679,0.050138346,0.073486578,0.20807275,0.327131824,0.308063712,0.036373225,0.058631849,0.076752939,0.214148162,0.313535283,0.300558543,,0.002197574,0.003295739,0.008236482,0.001100133,0.004017598,0.967474697,0.002656815,0.004373746,0.001346502,0.001118593,0.004182121,E9PAV3;Q13765;E9PAV3-2, ,NACA;NACA,0.967,Large Protein Complex,no,Large Protein Complex,Very High
Q9HAB8,undefined,PPCS,,0.141233944,0.168012981,0.150755088,0.202852407,0.202130777,0.135014804,0.152997321,0.188832552,0.142573475,0.161644121,0.240404138,0.113548392,0.160949217,0.20443894,0.135252076,0.167225998,0.166171498,0.165962272,,0.002738364,0.002276261,0.011310707,0.00169268,0.001592977,0.96746423,0.00151935,0.002499756,0.000848576,0.000754307,0.007302793,Q9HAB8, ,PPCS,0.967,Large Protein Complex,no,Large Protein Complex,Very High
